grup,numero_id,teoria_examen,teoria_total,practica_total,nota_final
1,U212790,9.75,9.8,9.3,9.6
2,U212854,9.75,9.71,9.4,9.6
2,U214509,9.25,9.3,9.7,9.5
2,U172274,9,9.13,9.4,9.2
1,U210145,9,8.97,9.3,9.1
2,U214488,9.25,9.16,8.8,9
1,U215002,9,8.97,8.3,8.7
1,U212800,9.25,9.31,7.8,8.7
1,U215123,8.75,8.93,8.1,8.6
2,U212815,7.75,8.09,9.4,8.6
2,U212788,8.25,8.52,8.8,8.6
1,U212785,8.75,8.71,8.3,8.5
2,U212801,8,8.35,8.8,8.5
1,U212809,8.25,8.55,8.3,8.4
1,U212813,8.5,8.6,7.8,8.3
2,U212805,7.25,7.47,9.4,8.2
1,U187226,8.5,8.03,8.3,8.1
1,U212818,8.5,8.41,7.6,8.1
2,U212866,8.75,8.48,7.6,8.1
1,U212844,8.5,7.87,8.3,8
2,U213945,7.25,7.51,8.8,8
2,U172615,6.25,6.89,9.4,7.9
1,U214495,7,7.6,8.1,7.8
1,U212827,7.75,7.81,7.8,7.8
1,U212817,8,8.19,7.1,7.8
2,U212864,7,7.05,8.8,7.8
1,U212810,8.25,7.96,7.3,7.7
1,U212838,7.5,7.7,7.8,7.7
1,U212821,7.25,7.56,7.8,7.7
2,U213946,6.75,7.07,8.6,7.7
2,U212833,7.75,7.34,7.8,7.5
2,U212865,6.5,6.7,8.6,7.5
1,U214995,6.5,7.07,7.8,7.4
2,U199805,6.25,6.46,8.6,7.3
1,U187232,6.25,6.85,7.8,7.2
2,U214997,5.75,6.27,8.6,7.2
1,U212812,6.5,6.84,7.6,7.1
1,U214484,5.5,6.08,8.3,7
1,U212859,5.5,6.23,7.8,6.9
2,U172228,5.5,6.01,8.3,6.9
2,U212831,5.75,6.4,7.6,6.9
2,U212824,6,5.59,8.6,6.8
2,U212825,6,6.28,7.6,6.8
2,U215003,5.5,6.18,7.8,6.8
2,U214512,6,6.09,7.8,6.8
1,U119432,6.5,6.78,6.6,6.7
2,U212803,6,6.51,7.1,6.7
1,U212816,5,5.54,8.1,6.6
1,U214487,6,6.67,6.6,6.6
2,U212843,5,4.81,9.4,6.6
2,U212861,5.5,5.95,7.5,6.6
1,U213397,7,6.48,6.6,6.5
2,U212837,5.25,5.85,7.5,6.5
2,U212828,6.25,6.18,7.1,6.5
2,U212814,6.25,6.1,7.1,6.5
1,U213399,6.75,6.54,6.1,6.4
1,U196512,4.5,5.16,8.3,6.4
2,U212860,5.25,5.36,7.6,6.3
2,U212829,6.25,6.47,6,6.3
2,U212949,5.5,5.73,7.1,6.3
1,U214500,4.25,4.84,8.3,6.2
1,U212867,5,5.45,7.3,6.2
2,U215247,5,5.63,7.1,6.2
2,U214988,4.5,4.52,8.8,6.2
2,U213394,4,4.04,9.4,6.2
1,U212850,4.25,4.01,9.3,6.1
1,U199927,5,4,9.3,6.1
1,U212802,4.25,5.08,7.6,6.1
2,U212822,7,6.42,5.5,6.1
2,U212868,5.5,5.95,6.3,6.1
2,U212835,6,6.2,5.9,6.1
