ccode,scode,country,year,polity2,xrreg,xrcomp,xropen,xconst,parreg,parcomp,exrec,exconst,polcomp
700,AFG,Afghanistan,1800,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1801,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1802,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1803,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1804,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1805,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1806,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1807,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1808,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1809,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1810,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1811,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1812,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1813,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1814,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1815,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1816,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1817,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1818,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1819,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1820,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1821,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1822,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1823,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1824,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1825,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1826,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1827,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1828,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1829,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1830,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1831,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1832,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1833,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1834,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1835,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1836,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1837,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1838,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1839,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1840,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1841,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1842,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1843,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1844,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1845,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1846,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1847,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1848,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1849,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1850,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1851,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1852,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1853,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1854,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1855,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1856,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1857,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1858,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1859,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1860,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1861,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1862,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1863,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1864,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1865,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1866,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1867,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1868,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1869,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1870,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1871,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1872,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1873,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1874,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1875,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1876,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1877,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1878,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1879,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1880,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1881,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1882,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1883,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1884,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1885,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1886,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1887,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1888,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1889,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1890,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1891,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1892,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1893,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1894,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1895,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1896,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1897,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1898,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1899,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1900,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1901,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1902,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1903,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1904,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1905,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1906,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1907,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1908,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1909,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1910,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1911,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1912,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1913,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1914,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1915,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1916,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1917,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1918,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1919,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1920,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1921,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1922,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1923,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1924,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1925,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1926,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1927,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1928,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1929,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1930,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1931,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1932,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1933,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1934,-6,3,1,1,1,3,3,1,1,6
700,AFG,Afghanistan,1935,-8,3,1,1,1,3,2,1,1,3
700,AFG,Afghanistan,1936,-8,3,1,1,1,3,2,1,1,3
700,AFG,Afghanistan,1937,-8,3,1,1,1,3,2,1,1,3
700,AFG,Afghanistan,1938,-8,3,1,1,1,3,2,1,1,3
700,AFG,Afghanistan,1939,-8,3,1,1,1,3,2,1,1,3
700,AFG,Afghanistan,1940,-8,3,1,1,1,3,2,1,1,3
700,AFG,Afghanistan,1941,-8,3,1,1,1,3,2,1,1,3
700,AFG,Afghanistan,1942,-8,3,1,1,1,3,2,1,1,3
700,AFG,Afghanistan,1943,-8,3,1,1,1,3,2,1,1,3
700,AFG,Afghanistan,1944,-8,3,1,1,1,3,2,1,1,3
700,AFG,Afghanistan,1945,-10,3,1,1,1,4,1,1,1,1
700,AFG,Afghanistan,1946,-10,3,1,1,1,4,1,1,1,1
700,AFG,Afghanistan,1947,-10,3,1,1,1,4,1,1,1,1
700,AFG,Afghanistan,1948,-10,3,1,1,1,4,1,1,1,1
700,AFG,Afghanistan,1949,-10,3,1,1,1,4,1,1,1,1
700,AFG,Afghanistan,1950,-10,3,1,1,1,4,1,1,1,1
700,AFG,Afghanistan,1951,-10,3,1,1,1,4,1,1,1,1
700,AFG,Afghanistan,1952,-10,3,1,1,1,4,1,1,1,1
