cod_municipi,any,cod_provincia,nom_provincia,cod_comarca,nom_comarca,nom_municipi,pp_perc,psc_perc,cs_perc,indep_perc,abst_perc,intervencio
08001,2012,8,BARCELONA,11,BAIX LLOBREGAT,ABRERA,15.693312,20.163132,9.771615,29.722675,28.564846,0
08001,2015,8,BARCELONA,11,BAIX LLOBREGAT,ABRERA,8.79,18.1,25.139999,30.35,19.879999,0
08001,2017,8,BARCELONA,11,BAIX LLOBREGAT,ABRERA,4.2120457,19.511875,33.57827,29.431833,14.701617,0
08002,2012,8,BARCELONA,7,BAGES,AGUILAR DE SEGARRA,3.2467532,1.9480519,1.9480519,83.766235,22.38806,0
08002,2015,8,BARCELONA,7,BAGES,AGUILAR DE SEGARRA,2.4400001,0,2.4400001,84.760002,19.209999,0
08002,2017,8,BARCELONA,7,BAGES,AGUILAR DE SEGARRA,1.6216216,4.8648648,6.4864864,86.486488,12.093023,0
08003,2012,8,BARCELONA,21,MARESME,ALELLA,12.381314,6.2096467,6.494493,63.653625,24.379457,0
08003,2015,8,BARCELONA,21,MARESME,ALELLA,8.1899996,6.5100002,14.51,61.639999,17.32,0
08003,2017,8,BARCELONA,21,MARESME,ALELLA,3.4910655,10.076109,20.632032,58.917934,15.107813,0
08004,2012,8,BARCELONA,24,OSONA,ALPENS,0,.46728972,.93457943,89.252335,8.5470085,0
08004,2015,8,BARCELONA,24,OSONA,ALPENS,0,1.38,.46000001,93.580002,6.8400002,0
08004,2017,8,BARCELONA,24,OSONA,ALPENS,0,4.1025643,0,91.794868,8.0188675,0
08005,2012,8,BARCELONA,41,VALLÈS ORIENTAL,L'AMETLLA DEL VALLÈS,9.9888515,5.1282053,5.8193979,65.618729,24.766199,0
08005,2015,8,BARCELONA,41,VALLÈS ORIENTAL,L'AMETLLA DEL VALLÈS,5.6999998,5.7600002,13.04,66.199997,17.780001,0
08005,2017,8,BARCELONA,41,VALLÈS ORIENTAL,L'AMETLLA DEL VALLÈS,2.3173897,8.3426027,18.965517,64.219505,14.484724,0
08006,2012,8,BARCELONA,21,MARESME,ARENYS DE MAR,10.837817,8.8905973,4.27876,62.900333,29.411764,0
08006,2015,8,BARCELONA,21,MARESME,ARENYS DE MAR,7.8299999,8.8800001,10.35,63.349998,22.98,0
08006,2017,8,BARCELONA,21,MARESME,ARENYS DE MAR,3.3718588,9.2461033,17.951437,63.577564,18.896221,0
08007,2012,8,BARCELONA,21,MARESME,ARENYS DE MUNT,6.4929609,6.2828326,3.4461021,69.930656,24.626514,0
08007,2015,8,BARCELONA,21,MARESME,ARENYS DE MUNT,5.29,6.52,8.5699997,71.699997,17.809999,0
08007,2017,8,BARCELONA,21,MARESME,ARENYS DE MUNT,1.8554862,6.1730599,14.290812,71.810883,15.217391,0
08008,2012,8,BARCELONA,6,ANOIA,ARGENÇOLA,8.0645161,.80645162,2.4193549,80.645164,32.978722,0
08008,2015,8,BARCELONA,6,ANOIA,ARGENÇOLA,5.4099998,.68000001,2.7,83.779999,19.15,0
08008,2017,8,BARCELONA,6,ANOIA,ARGENÇOLA,1.8987342,1.8987342,7.5949368,85.443039,16.842106,0
08009,2012,8,BARCELONA,21,MARESME,ARGENTONA,11.273455,9.3817291,5.936635,59.766224,26.910187,1
08009,2015,8,BARCELONA,21,MARESME,ARGENTONA,8.0100002,9.0699997,14.34,59.02,18.290001,1
