Indicadors socioeconòmics. Valors
Municipis. 2019 (p)
Unitats: %.
Font: Idescat. Índex socioeconòmic territorial
Nota: La renda mitjana per persona s'expressa en euros, i fa referència als ingressos percebuts durant l'any anterior.
(p) Dada provisional.
(b) Ruptura en la sèrie temporal.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=ist&n=14074&by=mun
Codi;Literal;Població ocupada;Treballadors de baixa qualificació;Població amb estudis baixos;Població jove sense estudis postobligatoris;Estrangers de països de renda baixa o mitjana;Renda mitjana per persona
080018;Abrera;71,7 (b);10,9 (b);15,6 (b);30,5 (b);5,9;13776;
250030;Agramunt;69,8 (b);17,5 (b);21,4 (b);33,2 (b);16,3;12072;
430043;Alcanar;53,8 (b);24,0 (b);21,3 (b);32,6 (b);18,0;9766;
250117;Alcarràs;69,1 (b);21,9 (b);24,1 (b);53,8 (b);30,7;10613;
430056;Alcover;68,2 (b);12,9 (b);16,5 (b);28,6 (b);10,3;12323;
080039;Alella;65,9 (b);5,2 (b);10,9 (b);13,1 (b);4,9;21264;
250194;Almacelles;58,2 (b);24,4 (b);26,2 (b);44,9 (b);18,3;11765;
250236;Alpicat;72,2 (b);8,1 (b);9,9 (b);22,1 (b);6,7;15202;
430120;Altafulla;64,4 (b);6,5 (b);11,9 (b);25,5 (b);8,0;15346;
430136;Ametlla de Mar, l';57,4 (b);17,7 (b);27,1 (b);38,2 (b);12,6;10954;
080057;Ametlla del Vallès, l';71,2 (b);6,9 (b);8,1 (b);15,0 (b);2,6;17998;
430141;Amposta;60,8 (b);15,4 (b);18,4 (b);36,6 (b);13,9;10465;
170084;Anglès;66,8 (b);18,3 (b);26,0 (b);42,6 (b);19,9;11500;
430167;Arboç, l';63,0 (b);20,0 (b);22,0 (b);45,7 (b);22,8;11034;
170097;Arbúcies;65,2 (b);19,0 (b);26,3 (b);44,1 (b);23,3;11443;
080060;Arenys de Mar;64,3 (b);8,9 (b);15,3 (b);25,5 (b);7,6;13625;
080076;Arenys de Munt;69,6 (b);10,6 (b);15,7 (b);30,3 (b);4,6;13364;
080095;Argentona;69,2 (b);8,6 (b);13,1 (b);23,6 (b);3,5;14438;
080109;Artés;70,8 (b);17,5 (b);17,9 (b);35,0 (b);8,8;13508;
