Migracions. Totals
Municipis. 2021
Font: Idescat, a partir de l'Estadística de variacions residencials de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=mm&n=5489&by=mun
Codi;Literal;Migracions internes  amb la resta de Catalunya  immigracions;Migracions internes  amb la resta de Catalunya  emigracions;Migracions internes  amb la resta de Catalunya  saldo migratori;Migracions internes  amb la resta d'Espanya  immigracions;Migracions internes  amb la resta d'Espanya  emigracions;Migracions internes  amb la resta d'Espanya  saldo migratori;Migracions externes  immigracions;Migracions externes  emigracions;Migracions externes  saldo migratori;Saldo migratori total
250019;Abella de la Conca;5;6;-1;0;0;0;1;0;1;0;
080018;Abrera;534;434;100;51;69;-18;52;49;3;85;
250024;Àger;26;32;-6;2;0;2;6;6;0;-4;
250030;Agramunt;156;162;-6;44;17;27;95;56;39;60;
080023;Aguilar de Segarra;14;8;6;0;1;-1;1;0;1;6;
170010;Agullana;64;45;19;4;8;-4;9;3;6;21;
080142;Aiguafreda;152;127;25;9;6;3;15;4;11;39;
430017;Aiguamúrcia;67;55;12;7;10;-3;7;3;4;13;
170025;Aiguaviva;31;40;-9;1;2;-1;0;3;-3;-13;
250387;Aitona;53;50;3;28;27;1;116;57;59;63;
250045;Alamús, els;49;34;15;8;5;3;3;3;0;18;
250058;Alàs i Cerc;23;10;13;0;3;-3;1;7;-6;4;
250061;Albagés, l';6;11;-5;2;5;-3;1;2;-1;-9;
170031;Albanyà;10;9;1;0;0;0;0;3;-3;-2;
250077;Albatàrrec;98;111;-13;22;5;17;67;78;-11;-7;
250083;Albesa;49;33;16;12;8;4;25;33;-8;12;
250096;Albi, l';20;16;4;5;1;4;12;5;7;15;
430022;Albinyana;214;121;93;3;12;-9;20;11;9;93;
430038;Albiol, l';24;17;7;1;3;-2;5;2;3;8;
170046;Albons;50;45;5;2;3;-1;4;27;-23;-19;
430043;Alcanar;295;204;91;127;129;-2;159;243;-84;5;
250100;Alcanó;8;5;3;0;0;0;4;0;4;7;
250117;Alcarràs;297;293;4;115;101;14;264;176;88;106;
250122;Alcoletge;158;159;-1;22;31;-9;43;23;20;10;
430056;Alcover;252;127;125;21;26;-5;27;28;-1;119;
439044;Aldea, l';162;130;32;51;26;25;143;30;113;170;
430069;Aldover;36;45;-9;2;16;-14;4;8;-4;-27;
430075;Aleixar, l';57;39;18;3;5;-2;7;0;7;23;
080039;Alella;598;444;154;52;47;5;152;125;27;186;
430081;Alfara de Carles;9;16;-7;0;1;-1;1;0;1;-7;
250138;Alfarràs;64;58;6;34;17;17;53;17;36;59;
250143;Alfés;8;11;-3;0;0;0;1;0;1;-2;
430094;Alforja;150;73;77;12;6;6;13;7;6;89;
250156;Algerri;19;25;-6;7;4;3;8;1;7;4;
250169;Alguaire;96;102;-6;24;31;-7;36;33;3;-10;
250175;Alins;24;12;12;1;3;-2;4;3;1;11;
430108;Alió;33;8;25;2;5;-3;2;5;-3;19;
250194;Almacelles;184;169;15;87;93;-6;169;34;135;144;
250208;Almatret;9;11;-2;1;2;-1;1;2;-1;-4;
250215;Almenar;90;67;23;23;15;8;105;54;51;82;
430115;Almoster;57;53;4;4;3;1;7;5;2;7;
250220;Alòs de Balaguer;10;8;2;1;0;1;1;0;1;4;
170062;Alp;154;81;73;14;14;0;15;14;1;74;
080044;Alpens;13;3;10;0;1;-1;3;1;2;11;
250236;Alpicat;244;197;47;43;41;2;46;5;41;90;
250241;Alt Àneu;22;10;12;2;0;2;2;0;2;16;
430120;Altafulla;338;259;79;33;43;-10;74;38;36;105;
170078;Amer;126;86;40;6;15;-9;18;5;13;44;
430136;Ametlla de Mar, l';257;195;62;57;56;1;176;26;150;213;
080057;Ametlla del Vallès, l';569;366;203;48;49;-1;64;43;21;223;
439060;Ampolla, l';228;146;82;40;33;7;113;157;-44;45;
430141;Amposta;753;569;184;184;178;6;378;109;269;459;
170084;Anglès;219;241;-22;21;16;5;83;55;28;11;
250273;Anglesola;65;70;-5;7;6;1;9;3;6;2;
250292;Arbeca;58;67;-9;20;17;3;40;144;-104;-110;
430167;Arboç, l';246;228;18;23;25;-2;68;72;-4;12;
430154;Arbolí;10;11;-1;0;3;-3;0;0;0;-4;
170097;Arbúcies;191;188;3;20;22;-2;72;33;39;40;
080060;Arenys de Mar;821;688;133;84;100;-16;240;126;114;231;
080076;Arenys de Munt;439;343;96;28;40;-12;60;29;31;115;
170101;Argelaguer;41;12;29;0;4;-4;1;2;-1;24;
080082;Argençola;14;19;-5;0;1;-1;0;0;0;-6;
430173;Argentera, l';6;6;0;0;0;0;2;1;1;1;
080095;Argentona;643;474;169;32;73;-41;81;83;-2;126;
170118;Armentera, l';86;37;49;1;10;-9;12;1;11;51;
430189;Arnes;15;15;0;7;2;5;10;2;8;13;
250313;Arres;4;7;-3;0;2;-2;0;0;0;-5;
250328;Arsèguel;3;8;-5;0;0;0;0;0;0;-5;
080109;Artés;263;167;96;27;23;4;56;37;19;119;
250334;Artesa de Lleida;43;44;-1;7;5;2;18;9;9;10;
250349;Artesa de Segre;106;97;9;29;18;11;59;16;43;63;
430192;Ascó;46;45;1;3;9;-6;11;1;10;5;
250365;Aspa;13;8;5;6;2;4;8;0;8;17;
250371;Avellanes i Santa Linya, les;35;8;27;0;3;-3;2;3;-1;23;
080116;Avià;131;98;33;9;6;3;22;10;12;48;
080121;Avinyó;79;85;-6;7;11;-4;28;20;8;-2;
170123;Avinyonet de Puigventós;73;58;15;4;4;0;3;4;-1;14;
080137;Avinyonet del Penedès;100;102;-2;2;6;-4;20;2;18;12;
080155;Badalona;8407;8417;-10;1208;1224;-16;3997;3073;924;898;
089045;Badia del Vallès;443;554;-111;49;87;-38;71;19;52;-97;
080168;Bagà;112;87;25;5;8;-3;16;0;16;38;
250390;Baix Pallars;18;13;5;1;2;-1;3;0;3;7;
250404;Balaguer;556;547;9;172;104;68;354;353;1;78;
080174;Balenyà;179;156;23;23;17;6;46;5;41;70;
080180;Balsareny;117;115;2;5;12;-7;14;3;11;6;
430206;Banyeres del Penedès;181;186;-5;1;23;-22;33;8;25;-2;
170157;Banyoles;608;572;36;80;71;9;238;171;67;112;
250411;Barbens;59;35;24;4;7;-3;66;36;30;51;
430213;Barberà de la Conca;36;21;15;0;3;-3;7;4;3;15;
082520;Barberà del Vallès;1206;1293;-87;128;179;-51;211;34;177;39;
080193;Barcelona;33818;48939;-15121;15751;16715;-964;57082;49223;7859;-8226;
250426;Baronia de Rialb, la;14;7;7;0;2;-2;2;1;1;6;
170160;Bàscara;55;34;21;7;0;7;7;11;-4;24;
250447;Bassella;7;5;2;0;1;-1;2;1;1;2;
430228;Batea;43;37;6;13;4;9;22;5;17;32;
250450;Bausen;2;2;0;2;1;1;1;1;0;1;
