Residus municipals. Generació. Total registrat i generació per càpita
Municipis. 2019
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&by=mun&t=201900
Codi,Literal,Total kg/hab./dia,Recollida no selectiva,Recollida selectiva,Total
250019,Abella de la Conca,1.40,52.73,38.49,91.22,
080018,Abrera,1.36,4604.78,1587.87,6192.65,
250024,Àger,1.78,247.36,135.04,382.40,
250030,Agramunt,1.50,1472.22,1469.58,2941.80,
080023,Aguilar de Segarra,1.17,63.04,60.23,123.27,
170010,Agullana,1.34,241.03,166.80,407.83,
080142,Aiguafreda,1.36,225.17,1020.83,1246.00,
430017,Aiguamúrcia,1.77,415.86,165.34,581.20,
170025,Aiguaviva,2.00,240.01,312.87,552.88,
250387,Aitona,0.93,450.83,429.13,879.96,
250045,"Alamús, els",0.66,39.69,157.43,197.12,
250058,Alàs i Cerc,1.35,67.22,95.11,162.33,
250061,"Albagés, l'",1.02,80.92,56.91,137.83,
170031,Albanyà,2.27,75.51,54.74,130.25,
250077,Albatàrrec,0.86,379.16,315.48,694.64,
250083,Albesa,0.83,239.79,230.15,469.94,
250096,"Albi, l'",0.98,174.55,99.13,273.68,
430022,Albinyana,1.85,999.05,649.11,1648.16,
430038,"Albiol, l'",1.48,93.70,168.19,261.89,
170046,Albons,2.09,206.68,385.67,592.35,
430043,Alcanar,1.80,2955.61,3237.64,6193.25,
250100,Alcanó,1.00,31.64,54.21,85.85,
250117,Alcarràs,0.76,500.16,2151.92,2652.08,
250122,Alcoletge,1.09,844.43,511.30,1355.73,
430056,Alcover,1.36,1148.47,1357.66,2506.13,
439044,"Aldea, l'",1.42,1045.75,1112.29,2158.04,
430069,Aldover,0.97,149.19,164.24,313.43,
430075,"Aleixar, l'",1.05,196.28,137.39,333.67,
080039,Alella,1.67,2657.28,3300.93,5958.21,
430081,Alfara de Carles,1.66,65.86,162.24,228.10,
250138,Alfarràs,0.74,136.74,621.95,758.69,
250143,Alfés,1.17,66.04,67.72,133.76,
430094,Alforja,1.57,531.41,498.41,1029.81,
250156,Algerri,1.24,73.33,101.87,175.20,
250169,Alguaire,0.72,142.31,639.99,782.30,
250175,Alins,1.84,63.77,121.17,184.94,
430108,Alió,0.89,69.58,73.82,143.40,
250194,Almacelles,1.01,1799.97,712.79,2512.76,
250208,Almatret,0.81,17.67,72.82,90.49,
250215,Almenar,0.74,167.31,756.60,923.91,
430115,Almoster,1.09,255.19,280.77,535.95,
250220,Alòs de Balaguer,2.25,47.05,59.57,106.62,
170062,Alp,3.32,1396.03,520.49,1916.52,
080044,Alpens,1.36,62.09,70.05,132.14,
250236,Alpicat,0.98,1248.20,999.73,2247.93,
250241,Alt Àneu,2.10,164.61,145.63,310.24,
430120,Altafulla,1.75,2130.85,1217.63,3348.48,
170078,Amer,1.46,749.95,472.86,1222.81,
430136,"Ametlla de Mar, l'",2.51,2963.76,3253.69,6217.45,
080057,"Ametlla del Vallès, l'",1.56,2685.50,2127.38,4812.88,
439060,"Ampolla, l'",3.03,1449.85,2094.76,3544.61,
430141,Amposta,1.37,5442.53,4904.79,10347.32,
170084,Anglès,1.06,1294.59,877.91,2172.50,
250273,Anglesola,1.42,368.15,340.56,708.71,
250292,Arbeca,1.06,529.27,298.92,828.19,
430167,"Arboç, l'",1.10,826.32,1382.75,2209.07,
430154,Arbolí,0.64,20.05,11.81,31.85,
