grup,numero_id,teoria_examen,teoria_total,practica_total,nota_final
2,U212854,9.75,9.71,9.4,9.6
2,U214509,9.25,9.3,9.7,9.5
2,U172274,9,9.13,9.4,9.2
2,U214488,9.25,9.16,8.8,9
2,U212815,7.75,8.09,9.4,8.6
2,U212788,8.25,8.52,8.8,8.6
2,U212801,8,8.35,8.8,8.5
2,U212805,7.25,7.47,9.4,8.2
2,U212866,8.75,8.48,7.6,8.1
2,U213945,7.25,7.51,8.8,8
2,U172615,6.25,6.89,9.4,7.9
2,U212864,7,7.05,8.8,7.8
2,U213946,6.75,7.07,8.6,7.7
2,U212833,7.75,7.34,7.8,7.5
2,U212865,6.5,6.7,8.6,7.5
2,U199805,6.25,6.46,8.6,7.3
2,U214997,5.75,6.27,8.6,7.2
2,U172228,5.5,6.01,8.3,6.9
2,U212831,5.75,6.4,7.6,6.9
2,U212824,6,5.59,8.6,6.8
2,U212825,6,6.28,7.6,6.8
2,U215003,5.5,6.18,7.8,6.8
2,U214512,6,6.09,7.8,6.8
2,U212803,6,6.51,7.1,6.7
2,U212843,5,4.81,9.4,6.6
2,U212861,5.5,5.95,7.5,6.6
2,U212837,5.25,5.85,7.5,6.5
2,U212828,6.25,6.18,7.1,6.5
2,U212814,6.25,6.1,7.1,6.5
2,U212860,5.25,5.36,7.6,6.3
2,U212829,6.25,6.47,6,6.3
2,U212949,5.5,5.73,7.1,6.3
2,U215247,5,5.63,7.1,6.2
2,U214988,4.5,4.52,8.8,6.2
2,U213394,4,4.04,9.4,6.2
2,U212822,7,6.42,5.5,6.1
2,U212868,5.5,5.95,6.3,6.1
2,U212835,6,6.2,5.9,6.1
2,U214998,5.25,5.01,7.5,6
2,U214496,4.25,4.84,7.5,5.9
2,U202395,5,5.74,5.8,5.8
2,U214999,5.75,5.41,5.8,5.6
2,U212807,5.25,5.4,5.8,5.6
2,U214510,5.75,5.73,5.2,5.5
2,U214992,5,5.28,5.8,5.5
2,U214493,4.75,5.13,5.9,5.4
2,U214507,4.25,5.06,5.3,5.2
2,U212830,5.25,5.28,5.2,5.2
2,U198041,5.25,4.78,5.3,5
2,U214489,4,4.43,5.9,5
2,U215004,NA,0,5.9,NA
2,U212794,NA,0,0,NA
2,U214508,NA,0,0,NA
2,U212832,NA,0,0,NA
2,U214515,NA,0,0,NA
2,U212798,NA,0,7.1,NA
2,U213396,NA,0,0,NA
2,U214511,NA,0,2.8,NA
2,U198018,1.5,1.68,9.4,4.8
2,U212808,5,4.54,5.2,4.8
2,U213400,2.75,3.81,6.3,4.8
2,U214513,2.75,2.99,7.6,4.8
2,U215001,2.75,3.7,5.9,4.6
2,U214993,3.25,3.99,8.3,4.5
2,U213947,3.25,3.27,8.3,4.5
2,U199257,1.75,2.12,9.4,4.5
2,U212820,3.5,4.38,7.5,4.5
2,U214650,3.75,4.18,5,4.5
2,U212823,3,3.1,9.4,4.5
2,U213942,3.25,3.72,7.8,4.5
2,U214987,2,2.51,9.7,4.5
2,U213943,3.5,4.07,9.4,4.5
2,U214492,2.25,2.83,9.7,4.5
2,U212787,3.25,3.88,5.3,4.4
2,U214483,3.25,3.89,5,4.3
2,U214501,3,3.61,5.2,4.2
2,U212851,2.25,2.94,5.9,4.1
2,U212855,3,3.35,5.3,4.1
2,U212841,1,1.6,7.8,4.1
2,U214502,3,3.13,5.2,4
2,U214494,2.5,2.54,5.5,3.7
2,U214991,1.75,1.94,5.8,3.5
2,U213941,2.5,2.42,5.2,3.5
2,U212857,3.25,3.55,2,2.9
2,U214996,0,0.47,6,2.7
2,U199242,2,1.6,0,1
2,U212840,0,0.47,0,0.3
