Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2021,Música,Municipal,Festivals,19,"(In)fusión Flamenca. Cicle de Flamenc al Besòs",5/11/2021,5/12/2021,,,,"Centre Cívic Besòs. Ajuntament de Barcelona",
2021,Música,Privada,Festivals,10,"(Parèntesi) by AMFest",8/10/2021,9/10/2021,600,,"Castell de Montjuïc","Associació AMF",Presencial
2021,Lletres,Municipal,Festivals,1,"42. Festival de Gèneres Fantàstics de Barcelona",3/11/2021,7/11/2021,6000,,"Fabra i Coats","Institut de Cultura. Ajuntament de Barcelona",Presencial
2021,"Arts visuals",Privada,Festivals,12,"48H Open House BCN",23/10/2021,24/10/2021,54099,11083,"Diversos espais de la ciutat","Associació 48h Open House Barcelona","A banda del públic presencial, van registrar-se 5.000 usuaris en línia"
2021,"Arts escèniques",Privada,Festivals,5,"Africa Moment",31/12/2021,31/12/2021,800,,"Diversos espais de la ciutat","Associació Africa Moment","Format mixt, amb activitats presencials i virtuals"
2021,Música,Privada,Festivals,,"AI & Music Festival i Sonar",27/10/2021,31/10/2021,4715,,"Centre Cultura Contemporània Barcelona","Advanced Music SL","A banda del públic presencial, van registrar-se 14.267 usuaris en línia"
2021,Audiovisuals,Privada,Festivals,8,"Americana Film Fest",2/3/2021,14/3/2021,5353,595,"Cinemes Girona","Associació cultural per la difusió del cinema nord-americà","Format mixt, amb activitats presencials i virtuals"
2021,Audiovisuals,Privada,Festivals,,"Arqu [in] FILM",12/5/2021,16/5/2021,,,,ARQ-INFAD,
2021,"Multidisciplinaris i altres",Privada,Festivals,,ARQUINSET,18/10/2021,22/11/2021,,,,ARQ-INFAD,
2021,"Arts visuals",Privada,Festivals,8,"Art Photo BCN",1/6/2021,30/7/2021,15900,,"Arts Santa Mònica","Isabel Lazaro","A banda del públic presencial, van registrar-se 600 usuaris en línia"
2021,Lletres,Privada,Fires,12,"Arts Libris. Fira internacional del llibre i edicions d'art, fotografia i disseny de Barcelona",18/6/2021,20/6/2021,16000,,"Fossat del Mercat de Sant Antoni","Raíña Lupa Produccions S.L.",Presencial
2021,Audiovisuals,Privada,Festivals,9,"Asian Film Festival",27/10/2021,7/11/2021,57867,,"Cinemes Girona","Casa Àsia","A banda del públic presencial, van registrar-se 17.914 usuaris en línia"
2021,Música,Privada,Festivals,,Bachcelona,1/7/2021,8/7/2021,,,,"Fundació BZM",
2021,Música,Municipal,Festivals,29,"BAM. Barcelona Acció Musical",23/9/2021,26/9/2021,11199,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",Presencial
2021,"Arts visuals",Privada,Festivals,16,"Barcelona Design Week City Festival",7/10/2021,30/10/2021,34300,,"Disseny Hub Barcelona","Barcelona centre de Disseny",Presencial
2021,"Arts visuals",Municipal,Festivals,11,"Barcelona Dibuixa",24/10/2021,24/10/2021,4901,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona","Format mixt, amb activitats presencials i virtuals"
2021,"Multidisciplinaris i altres",Municipal,Festivals,9,"Barcelona Districte Cultural",10/2/2021,29/5/2021,12435,,"29 centres cívics i culturals","Institut de Cultura. Ajuntament de Barcelona",Presencial
2021,"Multidisciplinaris i altres",Municipal,Festivals,10,"Barcelona Districte Cultural",6/10/2021,31/12/2021,16751,,"29 centres cívics i culturals","Institut de Cultura. Ajuntament de Barcelona",Presencial
2021,Música,Privada,Festivals,17,"Barcelona Festival of Song",8/7/2021,17/7/2021,160,,"Biblioteca de Catalunya","Patricia Caicedo","A banda del públic presencial, van registrar-se 300 usuaris en línia"
2021,"Arts visuals",Privada,Festivals,7,"Barcelona Gallery Weekend",7/5/2021,19/11/2021,13000,600,"33 galeries d'art a Barcelona, L'Hospitalet, Sitges i Santa Margarida i els Monjos, i activitats especials en espais col·laboradors a Barcelona.","Art Barcelona Associació de galeries","A banda del públic presencial, van registrar-se 500 usuaris en línia"
2021,Música,Privada,Festivals,2,"Barcelona Obertura Spring Festival",5/3/2021,28/3/2021,,,,-1,
2021,"Multidisciplinaris i altres","Pública no municipal",Festivals,8,"Barcelona Pensa",15/11/2021,19/11/2021,900,,,"Universitat de Barcelona",Presencial
2021,Lletres,Municipal,Festivals,24,"Barcelona Poesia",7/5/2021,18/5/2021,4884,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",Presencial
2021,Música,Privada,Festivals,26,BarnaSants,17/1/2021,15/5/2021,3642,2566,"Diversos espais de la ciutat","Associació República de la Cultura","A banda del públic presencial, van registrar-se 1.249 usuaris en línia"
2021,Audiovisuals,Privada,Festivals,1,"Barq, Festival Internacional de Cine de Barcelona",11/5/2021,16/5/2021,,,,-1,
2021,"Multidisciplinaris i altres",Privada,Festivals,24,"BAUM Festival",1/10/2021,3/10/2021,15000,,"Fira de Barcelona","Urban Line Concept, S.L.",Presencial
2021,Audiovisuals,Municipal,Festivals,11,"BCN Sports Film",18/1/2021,24/1/2021,300,,"Museu Olímpic i de l'Esport Joan Antoni Samaranch","Fundació Barcelona Olímpica","A banda del públic presencial, van registrar-se 13.000 usuaris en línia"
2021,Lletres,Municipal,Festivals,16,"BCNegra. Trobada de Novel·la Negra de Barcelona",21/1/2021,31/1/2021,,,Online,"Institut de Cultura. Ajuntament de Barcelona","En línia - Sense dades"
2021,"Multidisciplinaris i altres",Municipal,Festivals,2,"Biennal Ciència i Ciutat",8/6/2021,13/6/2021,8421,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",Presencial
2021,Música,Privada,Festivals,11,"BIS Festival",13/11/2021,11/12/2021,300,,"Sala Almo2bar","Associació Cultural BIS",Presencial
2021,"Multidisciplinaris i altres",Privada,Festivals,13,"Blanc Festival",21/10/2021,23/10/2021,,,,"Blanc! Festival","Va celebrar-se únicament en format virtual amb 682 usuaris"
2021,Audiovisuals,"Consorci o fundació amb presència municipal",Festivals,5,"Brain Film Fest",18/3/2021,20/3/2021,1149,,CCCB,CCCB,Presencial
2021,"Multidisciplinaris i altres",Privada,Festivals,4,"Brunch-in the City",7/11/2021,12/12/2021,22600,,"Poble Espanyol",Brunch-in,Presencial
2021,Música,Municipal,Festivals,,"Caliu, cicle de música d'hivern",16/1/2021,21/1/2021,,,,"Centre Cultural La Farinera del Clot. Ajuntament de Barcelona",
2021,Audiovisuals,Privada,Festivals,9,"Choreoscope Barcelona Dance Film Festival",14/9/2021,10/10/2021,897,1135,"Filmoteca de Catalunya i Cinema Maldà","Associacio Choreoscope","A banda del públic presencial, van registrar-se 36.000 usuaris en línia"
2021,Audiovisuals,Municipal,Festivals,21,"Cicle de Cinema dels Drets dels Infants",7/4/2021,2/5/2021,4571,,"Cinemes Girona","Departament de Promoció de la Infància. Ajuntament de Barcelona","Format mixt, amb activitats presencials i virtuals"
