country;continent;year;lifeExp;pop;gdpPercap
Afghanistan;Asia;1952;28,801;8425333;779,4453145
Afghanistan;Asia;1957;30,332;9240934;820,8530296
Afghanistan;Asia;1962;31,997;10267083;853,1007100
Afghanistan;Asia;1967;34,020;11537966;836,1971382
Afghanistan;Asia;1972;36,088;13079460;739,9811058
Afghanistan;Asia;1977;38,438;14880372;786,1133600
Afghanistan;Asia;1982;39,854;12881816;978,0114388
Afghanistan;Asia;1987;40,822;13867957;852,3959448
Afghanistan;Asia;1992;41,674;16317921;649,3413952
Afghanistan;Asia;1997;41,763;22227415;635,3413510
Afghanistan;Asia;2002;42,129;25268405;726,7340548
Afghanistan;Asia;2007;43,828;31889923;974,5803384
Albania;Europe;1952;55,230;1282697;1601,0561360
Albania;Europe;1957;59,280;1476505;1942,2842440
Albania;Europe;1962;64,820;1728137;2312,8889580
Albania;Europe;1967;66,220;1984060;2760,1969310
Albania;Europe;1972;67,690;2263554;3313,4221880
Albania;Europe;1977;68,930;2509048;3533,0039100
Albania;Europe;1982;70,420;2780097;3630,8807220
Albania;Europe;1987;72,000;3075321;3738,9327350
Albania;Europe;1992;71,581;3326498;2497,4379010
Albania;Europe;1997;72,950;3428038;3193,0546040
Albania;Europe;2002;75,651;3508512;4604,2117370
Albania;Europe;2007;76,423;3600523;5937,0295260
Algeria;Africa;1952;43,077;9279525;2449,0081850
Algeria;Africa;1957;45,685;10270856;3013,9760230
Algeria;Africa;1962;48,303;11000948;2550,8168800
Algeria;Africa;1967;51,407;12760499;3246,9917710
Algeria;Africa;1972;54,518;14760787;4182,6637660
Algeria;Africa;1977;58,014;17152804;4910,4167560
Algeria;Africa;1982;61,368;20033753;5745,1602130
Algeria;Africa;1987;65,799;23254956;5681,3585390
Algeria;Africa;1992;67,744;26298373;5023,2166470
Algeria;Africa;1997;69,152;29072015;4797,2950510
Algeria;Africa;2002;70,994;31287142;5288,0403820
Algeria;Africa;2007;72,301;33333216;6223,3674650
Angola;Africa;1952;30,015;4232095;3520,6102730
Angola;Africa;1957;31,999;4561361;3827,9404650
Angola;Africa;1962;34,000;4826015;4269,2767420
Angola;Africa;1967;35,985;5247469;5522,7763750
Angola;Africa;1972;37,928;5894858;5473,2880050
Angola;Africa;1977;39,483;6162675;3008,6473550
Angola;Africa;1982;39,942;7016384;2756,9536720
Angola;Africa;1987;39,906;7874230;2430,2083110
Angola;Africa;1992;40,647;8735988;2627,8456850
Angola;Africa;1997;40,963;9875024;2277,1408840
Angola;Africa;2002;41,003;10866106;2773,2873120
Angola;Africa;2007;42,731;12420476;4797,2312670
Argentina;Americas;1952;62,485;17876956;5911,3150530
Argentina;Americas;1957;64,399;19610538;6856,8562120
Argentina;Americas;1962;65,142;21283783;7133,1660230
Argentina;Americas;1967;65,634;22934225;8052,9530210
Argentina;Americas;1972;67,065;24779799;9443,0385260
Argentina;Americas;1977;68,481;26983828;10079,0267400
Argentina;Americas;1982;69,942;29341374;8997,8974120
Argentina;Americas;1987;70,774;31620918;9139,6713890
Argentina;Americas;1992;71,868;33958947;9308,4187100
Argentina;Americas;1997;73,275;36203463;10967,2819500
Argentina;Americas;2002;74,340;38331121;8797,6407160
Argentina;Americas;2007;75,320;40301927;12779,3796400
Australia;Oceania;1952;69,120;8691212;10039,5956400
Australia;Oceania;1957;70,330;9712569;10949,6495900
Australia;Oceania;1962;70,930;10794968;12217,2268600
Australia;Oceania;1967;71,100;11872264;14526,1246500
Australia;Oceania;1972;71,930;13177000;16788,6294800
Australia;Oceania;1977;73,490;14074100;18334,1975100
Australia;Oceania;1982;74,740;15184200;19477,0092800
Australia;Oceania;1987;76,320;16257249;21888,8890300
Australia;Oceania;1992;77,560;17481977;23424,7668300
Australia;Oceania;1997;78,830;18565243;26997,9365700
Australia;Oceania;2002;80,370;19546792;30687,7547300
Australia;Oceania;2007;81,235;20434176;34435,3674400
Austria;Europe;1952;66,800;6927772;6137,0764920
Austria;Europe;1957;67,480;6965860;8842,5980300
Austria;Europe;1962;69,540;7129864;10750,7211100
Austria;Europe;1967;70,140;7376998;12834,6024000
Austria;Europe;1972;70,630;7544201;16661,6256000
Austria;Europe;1977;72,170;7568430;19749,4223000
Austria;Europe;1982;73,180;7574613;21597,0836200
Austria;Europe;1987;74,940;7578903;23687,8260700
Austria;Europe;1992;76,040;7914969;27042,0186800
Austria;Europe;1997;77,510;8069876;29095,9206600
Austria;Europe;2002;78,980;8148312;32417,6076900
Austria;Europe;2007;79,829;8199783;36126,4927000
Bahrain;Asia;1952;50,939;120447;9867,0847650
Bahrain;Asia;1957;53,832;138655;11635,7994500
Bahrain;Asia;1962;56,923;171863;12753,2751400
Bahrain;Asia;1967;59,923;202182;14804,6727000
Bahrain;Asia;1972;63,300;230800;18268,6583900
Bahrain;Asia;1977;65,593;297410;19340,1019600
Bahrain;Asia;1982;69,052;377967;19211,1473100
Bahrain;Asia;1987;70,750;454612;18524,0240600
Bahrain;Asia;1992;72,601;529491;19035,5791700
Bahrain;Asia;1997;73,925;598561;20292,0167900
Bahrain;Asia;2002;74,795;656397;23403,5592700
Bahrain;Asia;2007;75,635;708573;29796,0483400
Bangladesh;Asia;1952;37,484;46886859;684,2441716
Bangladesh;Asia;1957;39,348;51365468;661,6374577
Bangladesh;Asia;1962;41,216;56839289;686,3415538
Bangladesh;Asia;1967;43,453;62821884;721,1860862
Bangladesh;Asia;1972;45,252;70759295;630,2336265
Bangladesh;Asia;1977;46,923;80428306;659,8772322
Bangladesh;Asia;1982;50,009;93074406;676,9818656
Bangladesh;Asia;1987;52,819;103764241;751,9794035
Bangladesh;Asia;1992;56,018;113704579;837,8101643
Bangladesh;Asia;1997;59,412;123315288;972,7700352
Bangladesh;Asia;2002;62,013;135656790;1136,3904300
Bangladesh;Asia;2007;64,062;150448339;1391,2537920
Belgium;Europe;1952;68,000;8730405;8343,1051270
Belgium;Europe;1957;69,240;8989111;9714,9606230
Belgium;Europe;1962;70,250;9218400;10991,2067600
Belgium;Europe;1967;70,940;9556500;13149,0411900
Belgium;Europe;1972;71,440;9709100;16672,1435600
Belgium;Europe;1977;72,800;9821800;19117,9744800
Belgium;Europe;1982;73,930;9856303;20979,8458900
Belgium;Europe;1987;75,350;9870200;22525,5630800
Belgium;Europe;1992;76,460;10045622;25575,5706900
Belgium;Europe;1997;77,530;10199787;27561,1966300
Belgium;Europe;2002;78,320;10311970;30485,8837500
Belgium;Europe;2007;79,441;10392226;33692,6050800
Benin;Africa;1952;38,223;1738315;1062,7522000
Benin;Africa;1957;40,358;1925173;959,6010805
Benin;Africa;1962;42,618;2151895;949,4990641
Benin;Africa;1967;44,885;2427334;1035,8314110
Benin;Africa;1972;47,014;2761407;1085,7968790
Benin;Africa;1977;49,190;3168267;1029,1612510
Benin;Africa;1982;50,904;3641603;1277,8976160
Benin;Africa;1987;52,337;4243788;1225,8560100
Benin;Africa;1992;53,919;4981671;1191,2076810
Benin;Africa;1997;54,777;6066080;1232,9752920
Benin;Africa;2002;54,406;7026113;1372,8779310
Benin;Africa;2007;56,728;8078314;1441,2848730
Bolivia;Americas;1952;40,414;2883315;2677,3263470
Bolivia;Americas;1957;41,890;3211738;2127,6863260
Bolivia;Americas;1962;43,428;3593918;2180,9725460
Bolivia;Americas;1967;45,032;4040665;2586,8860530
Bolivia;Americas;1972;46,714;4565872;2980,3313390
Bolivia;Americas;1977;50,023;5079716;3548,0978320
Bolivia;Americas;1982;53,859;5642224;3156,5104520
Bolivia;Americas;1987;57,251;6156369;2753,6914900
