age,language,urban_rural,region,electricity_nearby,piped_water_nearby,sweage_system_nearby,post_office_nearby,school_nearby,soldiers_nearby,customs_checkpoints_nearby,situation_country,situation_personal,armed_forces_trust,courts_law_trust
26,Igbo,Urban,IMO,Yes,Yes,Yes,No,Yes,Yes,No,Very Bad,Fairly Good,Somewhat,Not at all
25,Other,Rural,FCT ABUJA,Yes,Can't determine,No,No,Yes,No,No,Very Bad,Fairly Bad,Just a little,Not at all
35,Hausa,Rural,FCT ABUJA,Yes,Can't determine,No,No,Yes,No,No,Fairly Good,Very good,A lot,Somewhat
79,Other,Rural,FCT ABUJA,Yes,Can't determine,No,No,Yes,No,No,Neither good nor bad,Neither good nor bad,Not at all,Not at all
19,English,Rural,FCT ABUJA,Yes,Can't determine,No,No,Yes,No,No,Very Bad,Fairly Good,Somewhat,Somewhat
34,Igbo,Urban,IMO,Yes,Yes,Yes,No,Yes,Yes,No,Don't know,Don't know,Not at all,Not at all
30,Pidgin English,Rural,FCT ABUJA,Yes,Can't determine,No,No,Yes,No,No,Very Bad,Very Bad,Somewhat,Somewhat
32,Hausa,Rural,FCT ABUJA,Yes,Can't determine,No,No,Yes,No,No,Fairly Good,Very good,Somewhat,Somewhat
50,Other,Rural,FCT ABUJA,Yes,Can't determine,No,No,Yes,No,No,Neither good nor bad,Neither good nor bad,Don’t know,Just a little
18,English,Rural,FCT ABUJA,Yes,Can't determine,No,No,Yes,No,No,Very Bad,Neither good nor bad,Just a little,Somewhat
34,Hausa,Rural,"NASARAWA",Yes,No,No,No,No,No,No,Fairly Bad,Fairly Good,Just a little,Just a little
35,Other,Rural,"NASARAWA",Yes,No,No,No,No,No,No,Fairly Good,Fairly Good,A lot,Not at all
32,Other,Rural,"NASARAWA",Yes,No,No,No,No,No,No,Fairly Good,Fairly Bad,A lot,A lot
20,Hausa,Rural,"NASARAWA",Yes,No,No,No,No,No,No,Very Bad,Very Bad,Just a little,Somewhat
30,Igbo,Urban,IMO,Yes,Yes,Yes,No,Yes,No,No,Very Bad,Very Bad,Not at all,Not at all
60,Hausa,Rural,"NASARAWA",Yes,No,No,No,No,No,No,Fairly Good,Fairly Good,Just a little,Just a little
