country;continent;year;lifeExp;pop;gdpPercap
Afghanistan;Asia;1952;28,80100;8425333;779,4453145
Afghanistan;Asia;1957;30,33200;9240934;820,8530296
Afghanistan;Asia;1962;31,99700;10267083;853,1007100
Afghanistan;Asia;1967;34,02000;11537966;836,1971382
Afghanistan;Asia;1972;36,08800;13079460;739,9811058
Afghanistan;Asia;1977;38,43800;14880372;786,1133600
Afghanistan;Asia;1982;39,85400;12881816;978,0114388
Afghanistan;Asia;1987;40,82200;13867957;852,3959448
Afghanistan;Asia;1992;41,67400;16317921;649,3413952
Afghanistan;Asia;1997;41,76300;22227415;635,3413510
Afghanistan;Asia;2002;42,12900;25268405;726,7340548
Afghanistan;Asia;2007;43,82800;31889923;974,5803384
Albania;Europe;1952;55,23000;1282697;1601,0561360
Albania;Europe;1957;59,28000;1476505;1942,2842440
Albania;Europe;1962;64,82000;1728137;2312,8889580
Albania;Europe;1967;66,22000;1984060;2760,1969310
Albania;Europe;1972;67,69000;2263554;3313,4221880
Albania;Europe;1977;68,93000;2509048;3533,0039100
Albania;Europe;1982;70,42000;2780097;3630,8807220
Albania;Europe;1987;72,00000;3075321;3738,9327350
Albania;Europe;1992;71,58100;3326498;2497,4379010
Albania;Europe;1997;72,95000;3428038;3193,0546040
Albania;Europe;2002;75,65100;3508512;4604,2117370
Albania;Europe;2007;76,42300;3600523;5937,0295260
Algeria;Africa;1952;43,07700;9279525;2449,0081850
Algeria;Africa;1957;45,68500;10270856;3013,9760230
Algeria;Africa;1962;48,30300;11000948;2550,8168800
Algeria;Africa;1967;51,40700;12760499;3246,9917710
Algeria;Africa;1972;54,51800;14760787;4182,6637660
Algeria;Africa;1977;58,01400;17152804;4910,4167560
Algeria;Africa;1982;61,36800;20033753;5745,1602130
Algeria;Africa;1987;65,79900;23254956;5681,3585390
Algeria;Africa;1992;67,74400;26298373;5023,2166470
Algeria;Africa;1997;69,15200;29072015;4797,2950510
Algeria;Africa;2002;70,99400;31287142;5288,0403820
Algeria;Africa;2007;72,30100;33333216;6223,3674650
Angola;Africa;1952;30,01500;4232095;3520,6102730
Angola;Africa;1957;31,99900;4561361;3827,9404650
Angola;Africa;1962;34,00000;4826015;4269,2767420
Angola;Africa;1967;35,98500;5247469;5522,7763750
Angola;Africa;1972;37,92800;5894858;5473,2880050
Angola;Africa;1977;39,48300;6162675;3008,6473550
Angola;Africa;1982;39,94200;7016384;2756,9536720
Angola;Africa;1987;39,90600;7874230;2430,2083110
Angola;Africa;1992;40,64700;8735988;2627,8456850
Angola;Africa;1997;40,96300;9875024;2277,1408840
Angola;Africa;2002;41,00300;10866106;2773,2873120
Angola;Africa;2007;42,73100;12420476;4797,2312670
Argentina;Americas;1952;62,48500;17876956;5911,3150530
Argentina;Americas;1957;64,39900;19610538;6856,8562120
Argentina;Americas;1962;65,14200;21283783;7133,1660230
Argentina;Americas;1967;65,63400;22934225;8052,9530210
Argentina;Americas;1972;67,06500;24779799;9443,0385260
Argentina;Americas;1977;68,48100;26983828;10079,0267400
Argentina;Americas;1982;69,94200;29341374;8997,8974120
Argentina;Americas;1987;70,77400;31620918;9139,6713890
Argentina;Americas;1992;71,86800;33958947;9308,4187100
Argentina;Americas;1997;73,27500;36203463;10967,2819500
Argentina;Americas;2002;74,34000;38331121;8797,6407160
Argentina;Americas;2007;75,32000;40301927;12779,3796400
Australia;Oceania;1952;69,12000;8691212;10039,5956400
Australia;Oceania;1957;70,33000;9712569;10949,6495900
Australia;Oceania;1962;70,93000;10794968;12217,2268600
Australia;Oceania;1967;71,10000;11872264;14526,1246500
Australia;Oceania;1972;71,93000;13177000;16788,6294800
Australia;Oceania;1977;73,49000;14074100;18334,1975100
Australia;Oceania;1982;74,74000;15184200;19477,0092800
Australia;Oceania;1987;76,32000;16257249;21888,8890300
Australia;Oceania;1992;77,56000;17481977;23424,7668300
Australia;Oceania;1997;78,83000;18565243;26997,9365700
Australia;Oceania;2002;80,37000;19546792;30687,7547300
Australia;Oceania;2007;81,23500;20434176;34435,3674400
Austria;Europe;1952;66,80000;6927772;6137,0764920
Austria;Europe;1957;67,48000;6965860;8842,5980300
Austria;Europe;1962;69,54000;7129864;10750,7211100
Austria;Europe;1967;70,14000;7376998;12834,6024000
Austria;Europe;1972;70,63000;7544201;16661,6256000
Austria;Europe;1977;72,17000;7568430;19749,4223000
Austria;Europe;1982;73,18000;7574613;21597,0836200
Austria;Europe;1987;74,94000;7578903;23687,8260700
Austria;Europe;1992;76,04000;7914969;27042,0186800
Austria;Europe;1997;77,51000;8069876;29095,9206600
Austria;Europe;2002;78,98000;8148312;32417,6076900
Austria;Europe;2007;79,82900;8199783;36126,4927000
Bahrain;Asia;1952;50,93900;120447;9867,0847650
Bahrain;Asia;1957;53,83200;138655;11635,7994500
Bahrain;Asia;1962;56,92300;171863;12753,2751400
Bahrain;Asia;1967;59,92300;202182;14804,6727000
Bahrain;Asia;1972;63,30000;230800;18268,6583900
Bahrain;Asia;1977;65,59300;297410;19340,1019600
Bahrain;Asia;1982;69,05200;377967;19211,1473100
Bahrain;Asia;1987;70,75000;454612;18524,0240600
Bahrain;Asia;1992;72,60100;529491;19035,5791700
Bahrain;Asia;1997;73,92500;598561;20292,0167900
Bahrain;Asia;2002;74,79500;656397;23403,5592700
Bahrain;Asia;2007;75,63500;708573;29796,0483400
Bangladesh;Asia;1952;37,48400;46886859;684,2441716
Bangladesh;Asia;1957;39,34800;51365468;661,6374577
Bangladesh;Asia;1962;41,21600;56839289;686,3415538
Bangladesh;Asia;1967;43,45300;62821884;721,1860862
Bangladesh;Asia;1972;45,25200;70759295;630,2336265
Bangladesh;Asia;1977;46,92300;80428306;659,8772322
Bangladesh;Asia;1982;50,00900;93074406;676,9818656
Bangladesh;Asia;1987;52,81900;103764241;751,9794035
Bangladesh;Asia;1992;56,01800;113704579;837,8101643
Bangladesh;Asia;1997;59,41200;123315288;972,7700352
Bangladesh;Asia;2002;62,01300;135656790;1136,3904300
Bangladesh;Asia;2007;64,06200;150448339;1391,2537920
Belgium;Europe;1952;68,00000;8730405;8343,1051270
Belgium;Europe;1957;69,24000;8989111;9714,9606230
Belgium;Europe;1962;70,25000;9218400;10991,2067600
Belgium;Europe;1967;70,94000;9556500;13149,0411900
Belgium;Europe;1972;71,44000;9709100;16672,1435600
Belgium;Europe;1977;72,80000;9821800;19117,9744800
Belgium;Europe;1982;73,93000;9856303;20979,8458900
