Altitud, superfície i població. Municipis
2019
"Font: Institut Cartogràfic de Catalunya; Idescat. Padró municipal d'habitants."
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15903&t=201900
Municipi;Comarca;Codi;Altitud  (m);Superfície  (km²);Població
Abella de la Conca;Pallars Jussà;250019;956;78,27;179
Abrera;Baix Llobregat;080018;105;19,94;12489
Àger;Noguera;250024;642;160,57;588
Agramunt;Urgell;250030;337;79,65;5371
Aguilar de Segarra;Bages;080023;480;43,32;288
Agullana;Alt Empordà;170010;166;27,73;831
Aiguafreda;Vallès Oriental;080142;404;7,90;2504
Aiguamúrcia;Alt Camp;430017;314;72,95;901
Aiguaviva;Gironès;170025;169;13,92;756
Aitona;Segrià;250387;110;66,90;2591
Alamús, els;Segrià;250045;212;20,53;819
Alàs i Cerc;Alt Urgell;250058;768;57,67;329
Albagés, l';Garrigues;250061;372;25,70;369
Albanyà;Alt Empordà;170031;239;94,39;157
Albatàrrec;Segrià;250077;147;10,46;2221
Albesa;Noguera;250083;237;37,61;1556
Albi, l';Garrigues;250096;526;32,54;764
Albinyana;Baix Penedès;430022;198;19,37;2438
Albiol, l';Baix Camp;430038;823;20,34;485
Albons;Baix Empordà;170046;25;11,13;776
Alcanar;Montsià;430043;72;47,07;9418
Alcanó;Segrià;250100;214;21,03;235
Alcarràs;Segrià;250117;137;114,29;9514
Alcoletge;Segrià;250122;213;16,70;3420
Alcover;Alt Camp;430056;243;46,00;5064
Aldea, l';Baix Ebre;439044;9;35,21;4160
Aldover;Baix Ebre;430069;14;20,20;882
Aleixar, l';Baix Camp;430075;262;26,10;873
Alella;Maresme;080039;90;9,58;9801
Alfara de Carles;Baix Ebre;430081;334;63,87;377
Alfarràs;Segrià;250138;281;11,40;2797
Alfés;Segrià;250143;236;31,94;312
Alforja;Baix Camp;430094;374;38,24;1801
Algerri;Noguera;250156;345;54,32;386
Alguaire;Segrià;250169;304;50,11;2971
Alins;Pallars Sobirà;250175;1048;183,19;276
Alió;Alt Camp;430108;263;7,25;439
Almacelles;Segrià;250194;247;49,03;6791
Almatret;Segrià;250208;462;56,83;307
Almenar;Segrià;250215;329;66,59;3398
Almoster;Baix Camp;430115;290;5,96;1351
Alòs de Balaguer;Noguera;250220;297;69,08;130
Alp;Cerdanya;170062;1158;44,29;1580
Alpens;Osona;080044;855;13,80;266
Alpicat;Segrià;250236;264;15,33;6255
Alt Àneu;Pallars Sobirà;250241;1076;217,76;405
Altafulla;Tarragonès;430120;52;6,95;5243
Amer;Selva;170078;186;40,08;2298
Ametlla de Mar, l';Baix Ebre;430136;19;66,86;6787
Ametlla del Vallès, l';Vallès Oriental;080057;281;14,24;8462
Ampolla, l';Baix Ebre;439060;8;35,65;3205
Amposta;Montsià;430141;8;138,31;20738
Anglès;Selva;170084;181;16,31;5599
Anglesola;Urgell;250273;335;23,53;1363
Arbeca;Garrigues;250292;332;58,34;2144
Arboç, l';Baix Penedès;430167;166;14,13;5517
Arbolí;Baix Camp;430154;714;20,78;137
Arbúcies;Selva;170097;291;86,22;6556
Arenys de Mar;Maresme;080060;10;6,75;15776
Arenys de Munt;Maresme;080076;121;21,29;8931
Argelaguer;Garrotxa;170101;183;12,54;397
Argençola;Anoia;080082;716;47,09;217
Argentera, l';Baix Camp;430173;344;10,12;124
Argentona;Maresme;080095;88;25,40;12452
Armentera, l';Alt Empordà;170118;7;5,60;930
Arnes;Terra Alta;430189;506;42,97;455
Arres;Val d'Aran;250313;1224;11,57;65
Arsèguel;Alt Urgell;250328;950;10,59;84
Artés;Bages;080109;316;17,87;5698
Artesa de Lleida;Segrià;250334;202;23,94;1504
Artesa de Segre;Noguera;250349;318;175,90;3432
Ascó;Ribera d'Ebre;430192;70;73,63;1660
Aspa;Segrià;250365;256;10,21;224
Avellanes i Santa Linya, les;Noguera;250371;567;102,96;449
Avià;Berguedà;080116;677;27,23;2226
Avinyó;Bages;080121;353;63,23;2275
Avinyonet de Puigventós;Alt Empordà;170123;70;12,30;1610
Avinyonet del Penedès;Alt Penedès;080137;280;29,13;1701
Badalona;Barcelonès;080155;6;21,18;220440
Badia del Vallès;Vallès Occidental;089045;120;0,93;13380
Bagà;Berguedà;080168;785;43,13;2138
Baix Pallars;Pallars Sobirà;250390;591;129,41;335
Balaguer;Noguera;250404;233;57,32;17162
Balenyà;Osona;080174;587;17,37;3821
Balsareny;Bages;080180;327;36,91;3159
Banyeres del Penedès;Baix Penedès;430206;173;12,19;3170
Banyoles;Pla de l'Estany;170157;172;11,05;19826
Barbens;Pla d'Urgell;250411;283;7,56;878
Barberà de la Conca;Conca de Barberà;430213;475;26,60;473
Barberà del Vallès;Vallès Occidental;082520;146;8,31;33091
Barcelona;Barcelonès;080193;9;101,35;1636762
Baronia de Rialb, la;Noguera;250426;388;145,08;237
Bàscara;Alt Empordà;170160;66;17,50;1004
Bassella;Alt Urgell;250447;423;70,25;224
Batea;Terra Alta;430228;376;128,41;1890
Bausen;Val d'Aran;250450;931;17,72;58
Begues;Baix Llobregat;080207;399;50,44;7098
Begur;Baix Empordà;170139;200;20,66;3925
Belianes;Urgell;250463;373;15,69;525
Bellaguarda;Garrigues;251706;640;17,14;287
Bellcaire d'Empordà;Baix Empordà;170182;35;12,64;693
Bellcaire d'Urgell;Noguera;250479;267;31,38;1230
Bell-lloc d'Urgell;Pla d'Urgell;250485;196;34,92;2315
Bellmunt d'Urgell;Noguera;250498;379;5,11;185
Bellmunt del Priorat;Priorat;430234;261;8,86;280
Bellprat;Anoia;080214;653;30,97;64
Bellpuig;Urgell;250501;308;34,98;5133
Bellvei;Baix Penedès;430249;108;8,27;2203
Bellver de Cerdanya;Cerdanya;250518;1061;98,15;1937
Bellvís;Pla d'Urgell;250523;207;46,70;2255
Benavent de Segrià;Segrià;250539;234;7,43;1499
Benifallet;Baix Ebre;430252;19;62,42;739
Benissanet;Ribera d'Ebre;430265;26;23,06;1161
Berga;Berguedà;080229;704;22,57;16494
Besalú;Garrotxa;170195;151;4,93;2492
Bescanó;Gironès;170209;102;35,92;4960
Beuda;Garrotxa;170216;338;35,91;190
Bigues i Riells;Vallès Oriental;080235;307;28,64;9092
Biosca;Segarra;250557;455;66,21;176
Bisbal d'Empordà, la;Baix Empordà;170221;39;20,62;10974
Bisbal de Falset, la;Priorat;430271;372;14,14;216
Bisbal del Penedès, la;Baix Penedès;430287;189;32,54;3528
Biure;Alt Empordà;172348;81;10,02;232
Blancafort;Conca de Barberà;430290;428;14,48;389
Blanes;Selva;170237;13;17,66;39028
Boadella i les Escaules;Alt Empordà;170293;82;10,78;252
Bolvir;Cerdanya;170242;1145;10,34;369
Bonastre;Baix Penedès;430304;177;24,97;688
Bòrdes, Es;Val d'Aran;250576;852;21,44;259
Bordils;Gironès;170255;42;7,32;1779
Borges Blanques, les;Garrigues;250582;304;61,55;6087
Borges del Camp, les;Baix Camp;430311;238;8,24;2037
Borrassà;Alt Empordà;170268;73;9,45;714
Borredà;Berguedà;080240;854;43,45;445
Bossòst;Val d'Aran;250595;710;28,17;1109
Bot;Terra Alta;430326;286;34,94;573
Botarell;Baix Camp;430332;196;11,95;1068
Bovera;Garrigues;250560;297;31,12;247
Bràfim;Alt Camp;430347;236;6,42;692
Breda;Selva;170274;169;5,02;3740
Bruc, el;Anoia;080253;489;47,20;2050
Brull, el;Osona;080266;843;41,03;263
Brunyola i Sant Martí Sapresa;Selva;170280;247;36,82;383
Cabacés;Priorat;430350;358;31,27;298
Cabanabona;Noguera;250609;421;14,16;75
Cabanelles;Alt Empordà;170314;194;55,58;279
Cabanes;Alt Empordà;170307;26;15,02;948
Cabanyes, les;Alt Penedès;080272;252;1,15;964
Cabó;Alt Urgell;250616;768;80,33;92
Cabra del Camp;Alt Camp;430363;493;26,95;1163
Cabrera d'Anoia;Anoia;080288;299;17,00;1410
Cabrera de Mar;Maresme;080291;104;8,98;4680
Cabrils;Maresme;080305;147;7,05;7439
Cadaqués;Alt Empordà;170329;23;26,43;2712
Calaf;Anoia;080312;680;9,22;3535
Calafell;Baix Penedès;430379;67;20,38;26538
Calders;Moianès;080348;552;33,09;970
Caldes d'Estrac;Maresme;080327;33;0,88;2982
Caldes de Malavella;Selva;170335;84;57,33;7641
Caldes de Montbui;Vallès Oriental;080333;203;37,45;17554
Calella;Maresme;080351;5;8,00;19069
Calldetenes;Osona;080370;489;5,80;2489
Callús;Bages;080386;260;12,50;2140
Calonge de Segarra;Anoia;080364;688;37,15;188
Calonge i Sant Antoni;Baix Empordà;170340;22;33,57;11092
Camarasa;Noguera;250621;321;157,13;817
Camarles;Baix Ebre;439039;13;25,16;3224
Cambrils;Baix Camp;430385;24;35,21;33898
Camós;Pla de l'Estany;170353;168;15,66;693
Campdevànol;Ripollès;170366;738;32,62;3223
Campelles;Ripollès;170372;1303;18,64;139
Campins;Vallès Oriental;080399;321;7,29;529
Campllong;Gironès;170388;113;8,59;547
Camprodon;Ripollès;170391;947;103,38;2281
Canejan;Val d'Aran;250637;906;48,32;107
Canet d'Adri;Gironès;170405;217;44,41;723
Canet de Mar;Maresme;080403;15;5,56;14526
Canonja, la;Tarragonès;439076;50;7,32;5893
Canovelles;Vallès Oriental;080410;175;6,66;16629
