ccown,ccowc,pais,continent,regio,poblacio,pibcap_2011,pibcap_1900,despesa_educacio,despesa_militar,religio_llib,n_aliances,confianca_altres,co2_capita,gini,democracia
700,AFG,Afghanistan,Asia,South Asia,NA,1934.555053710938,NA,3.213779926300049,1.118230581283569,Sí,1,NA,0.160976454615593,NA,0.1940000057220459
339,ALB,Albania,Europe,Europe & Central Asia,2.880917072296143,11104.166015625,1092,3.916650056838989,1.299676299095154,Sí,8,0.027856566,1.692248344421387,30.79999923706055,0.4070000052452087
615,DZA,Algeria,Africa,Middle East & North Africa,43.05305480957031,14228.025390625,NA,6.100359916687012,6.021046161651611,No,9,NA,4.010034561157227,NA,0.1500000059604645
232,AND,Andorra,Europe,Europe & Central Asia,NA,NA,NA,3.150609970092773,NA,Sí,2,0.25574425,6.549388885498047,NA,NA
540,AGO,Angola,Africa,Sub-Saharan Africa,31.82529449462891,7771.44189453125,NA,1.927459955215454,1.643740296363831,Sí,8,NA,0.7792025804519653,51.29999923706055,0.2020000070333481
58,ATG,Antigua and Barbuda,Americas,Latin America & Caribbean,0.0971179977059364,NA,NA,2.831340074539185,NA,Sí,3,NA,5.644994735717773,NA,NA
373,AZE,Azerbaijan,Asia,Europe & Central Asia,10.0477180480957,16628.0546875,NA,2.681080102920532,3.873411655426025,Sí,14,0.28228229,3.542397737503052,NA,0.0610000006854534
160,ARG,Argentina,Americas,Latin America & Caribbean,44.78067779541016,18556.3828125,4583,4.724170207977295,0.7061866521835327,Sí,3,0.2010431,3.740650177001953,42.90000152587891,0.6119999885559082
900,AUS,Australia,Oceania,East Asia & Pacific,25.20319747924805,49830.80078125,6397,5.135310173034668,1.874025583267212,Sí,5,0.48936543,15.25361824035645,34.29999923706055,0.8090000152587891
305,AUT,Austria,Europe,Europe & Central Asia,8.95510196685791,42988.0703125,4594,5.212910175323486,0.7275132536888123,No,2,0.51188117,7.293984413146973,30.20000076293945,0.7649999856948853
31,BHS,Bahamas (the),Americas,Latin America & Caribbean,0.3894819915294647,NA,NA,2.288419961929321,NA,Sí,2,NA,7.020024299621582,NA,NA
692,BHR,Bahrain,Asia,Middle East & North Africa,1.641172051429749,39498.765625,NA,2.094909906387329,4.055054187774658,NA,4,NA,22.25958061218262,NA,0.0480000004172325
771,BGD,Bangladesh,Asia,South Asia,163.0461578369141,4099.2529296875,NA,1.971846580505371,1.348906636238098,Sí,1,0.1292744,0.5482242107391357,32.40000152587891,0.1059999987483025
371,ARM,Armenia,Asia,Europe & Central Asia,2.957731008529663,11454.4248046875,NA,2.561850070953369,4.787705898284912,Sí,14,0.24995957,2.187476396560669,29.89999961853027,0.6320000290870667
53,BRB,Barbados,Americas,Latin America & Caribbean,0.2870250046253204,11995.1865234375,NA,3.20398998260498,NA,Sí,2,NA,4.461417675018311,NA,0.6700000166893005
211,BEL,Belgium,Europe,Europe & Central Asia,11.53932762145996,39756.203125,5947,6.339759826660156,0.8893871903419495,Sí,3,NA,8.09558391571045,27.20000076293945,0.828000009059906
760,BTN,Bhutan,Asia,South Asia,0.7630919814109802,NA,NA,5.675445556640625,NA,Sí,NA,NA,1.368151187896729,37.40000152587891,0.5120000243186951
145,BOL,Bolivia (Plurinational State of),Americas,Latin America & Caribbean,11.51309967041016,6695.7744140625,1462,7.672689914703369,1.451270818710327,Sí,3,0.085979484,1.896867036819458,41.59999847412109,0.3170000016689301
