Renda familiar disponible bruta (RFDB). Revisió estadística 2019. Índex
Municipis. 2019
Font: Idescat.
Nota: Any 2019. Dades provisionals.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=rfdbc&n=13301&by=mun
Codi,Literal,RFDB milers d'euros,RFDB per habitant. Milers d'euros,RFDB per habitant. Índex Catalunya = 100
080018,Abrera,226252,18.2,100.0,
250030,Agramunt,85015,15.9,87.0,
080142,Aiguafreda,47182,18.9,103.5,
250387,Aitona,30605,12.1,66.2,
250077,Albatàrrec,29303,13.4,73.3,
250083,Albesa,22387,14.6,80.0,
430022,Albinyana,34229,14.0,77.0,
430043,Alcanar,128416,13.4,73.8,
250117,Alcarràs,128929,13.6,74.8,
250122,Alcoletge,49299,14.6,80.2,
430056,Alcover,81716,16.0,87.6,
439044,"Aldea, l'",54903,13.3,72.8,
080039,Alella,268266,27.6,151.3,
250138,Alfarràs,39986,14.6,80.2,
430094,Alforja,26892,14.9,81.9,
250169,Alguaire,43372,14.7,80.6,
250194,Almacelles,95053,14.2,77.9,
250215,Almenar,48664,14.6,80.4,
430115,Almoster,30099,22.2,122.0,
170062,Alp,27553,17.5,96.0,
250236,Alpicat,118872,19.3,105.9,
430120,Altafulla,102083,19.3,105.9,
170078,Amer,39867,17.6,96.4,
430136,"Ametlla de Mar, l'",93891,13.8,75.7,
080057,"Ametlla del Vallès, l'",213859,25.1,137.6,
439060,"Ampolla, l'",49700,15.4,84.4,
430141,Amposta,284756,13.4,73.7,
170084,Anglès,84928,15.4,84.5,
250273,Anglesola,21289,15.7,86.1,
250292,Arbeca,30727,14.3,78.7,
430167,"Arboç, l'",76251,13.8,75.7,
170097,Arbúcies,95949,14.9,81.6,
080060,Arenys de Mar,321253,20.5,112.6,
080076,Arenys de Munt,164531,18.5,101.3,
080095,Argentona,234024,19.0,104.1,
080109,Artés,97227,17.1,94.0,
250334,Artesa de Lleida,22683,15.2,83.3,
250349,Artesa de Segre,49798,14.8,81.2,
430192,Ascó,25105,15.4,84.3,
080116,Avià,40606,18.3,100.7,
080121,Avinyó,40489,17.9,98.3,
170123,Avinyonet de Puigventós,27189,17.1,94.0,
080137,Avinyonet del Penedès,28008,16.5,90.4,
080155,Badalona,3690231,16.8,92.0,
089045,Badia del Vallès,179929,13.4,73.8,
080168,Bagà,38514,18.1,99.2,
250404,Balaguer,239740,14.0,77.1,
080174,Balenyà,61593,16.3,89.4,
080180,Balsareny,56337,17.9,98.3,
430206,Banyeres del Penedès,51273,16.2,88.8,
170157,Banyoles,335889,17.0,93.1,
082520,Barberà del Vallès,588270,17.7,97.4,
080193,Barcelona,36383182,22.2,121.9,
430228,Batea,25090,13.4,73.6,
080207,Begues,161893,22.7,124.4,
170139,Begur,66550,17.3,95.0,
250479,Bellcaire d'Urgell,18504,15.5,84.8,
250485,Bell-lloc d'Urgell,36979,15.7,86.3,
250501,Bellpuig,71862,14.0,76.6,
430249,Bellvei,30807,14.0,76.6,
250518,Bellver de Cerdanya,37514,19.2,105.2,
250523,Bellvís,33924,14.8,81.5,
250539,Benavent de Segrià,25990,17.5,96.1,
430265,Benissanet,15124,13.3,73.0,
080229,Berga,281765,17.0,93.4,
170195,Besalú,42323,17.3,95.2,
170209,Bescanó,87306,18.1,99.1,
080235,Bigues i Riells del Fai,177189,19.3,105.7,
170221,"Bisbal d'Empordà, la",155099,14.2,78.1,
430287,"Bisbal del Penedès, la",52421,14.7,80.8,
170237,Blanes,586331,15.1,83.1,
170255,Bordils,30270,17.6,96.6,
250582,"Borges Blanques, les",91039,14.8,81.2,
430311,"Borges del Camp, les",32862,16.0,87.6,
250595,Bossòst,19510,17.8,97.6,
430332,Botarell,19612,18.2,99.8,
170274,Breda,59777,16.3,89.2,
080253,"Bruc, el",41087,19.7,108.3,
430363,Cabra del Camp,16000,13.6,74.9,
080288,Cabrera d'Anoia,22087,15.3,83.8,
080291,Cabrera de Mar,121305,26.1,143.0,
080305,Cabrils,202470,27.6,151.3,
170329,Cadaqués,39605,15.0,82.3,
080312,Calaf,54667,15.2,83.4,
430379,Calafell,394631,14.7,80.5,
080327,Caldes d'Estrac,57871,19.5,107.2,
170335,Caldes de Malavella,126913,16.7,91.6,
080333,Caldes de Montbui,328321,18.6,102.2,
080351,Calella,292469,15.4,84.8,
080370,Calldetenes,43792,17.7,97.3,
080386,Callús,34930,16.5,90.7,
170340,Calonge i Sant Antoni,165037,15.0,82.1,
439039,Camarles,45998,14.4,78.9,
430385,Cambrils,552288,16.0,87.8,
170366,Campdevànol,58878,18.4,100.8,
170391,Camprodon,40147,17.7,96.9,
080403,Canet de Mar,248235,17.1,93.9,
439076,"Canonja, la",85658,14.4,79.1,
080410,Canovelles,242358,14.5,79.7,
080425,Cànoves i Samalús,57371,18.3,100.7,
080431,Canyelles,86149,18.8,103.2,
080446,Capellades,90058,16.9,92.9,
080462,Cardedeu,336745,18.4,100.8,
080478,Cardona,79930,17.4,95.5,
170448,Cassà de la Selva,171040,16.9,92.9,
080497,Casserres,26797,16.8,92.4,
080517,Castellar del Vallès,460345,18.9,104.0,
080538,Castellbell i el Vilar,62739,17.2,94.4,
080543,Castellbisbal,223743,18.0,98.7,
080569,Castelldefels,1442997,21.6,118.8,
080581,Castellet i la Gornal,39290,16.8,92.2,
080615,Castellgalí,35413,17.1,93.9,
080620,Castellnou de Bages,25804,18.4,100.9,
170470,Castelló d'Empúries,138725,12.9,70.9,
170486,Castell-Platja d'Aro,153491,14.2,78.2,
080641,Castellterçol,42889,17.3,94.8,
430424,Castellvell del Camp,59429,20.8,114.1,
080654,Castellví de la Marca,25821,16.6,91.1,
080667,Castellví de Rosanes,36975,19.5,107.2,
430430,"Catllar, el",85076,18.8,103.3,
171899,"Cellera de Ter, la",32862,17.2,94.4,
170499,Celrà,85329,15.9,87.5,
080673,Centelles,133352,18.1,99.4,
082687,Cercs,19671,17.2,94.5,
082665,Cerdanyola del Vallès,1123527,19.5,107.2,
080689,Cervelló,181880,20.2,111.0,
250729,Cervera,126436,13.9,76.4,
080692,Collbató,98545,22.1,121.0,
430477,Constantí,85445,12.9,70.8,
430483,Corbera d'Ebre,13756,13.8,75.8,
080728,Corbera de Llobregat,284211,19.3,105.9,
250788,Corbins,20356,14.2,78.2,
