"Municipis. Per trams de població. Comarques i Aran, àmbits i províncies"
2022
Font: Idescat. Padró municipal d'habitants.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15225
,Habitants. Fins a 500,Habitants. De 501 a 2.000,Habitants. De 2.001 a 5.000,Habitants. De 5.001 a 10.000,Habitants. De 10.001 a 50.000,Habitants. Més de 50.000,Total
Alt Camp,9,11,1,1,1,0,23
Alt Empordà,29,30,4,1,4,0,68
Alt Penedès,1,11,11,2,2,0,27
Alt Urgell,12,6,0,0,1,0,19
Alta Ribagorça,0,2,1,0,0,0,3
Anoia,13,8,6,2,4,0,33
Aran,5,3,0,1,0,0,9
Bages,6,5,9,8,1,1,30
Baix Camp,6,12,4,3,2,1,28
Baix Ebre,1,5,4,2,2,0,14
Baix Empordà,17,9,2,1,7,0,36
Baix Llobregat,0,0,5,5,15,5,30
Baix Penedès,0,3,7,1,3,0,14
Barcelonès,0,0,0,0,1,4,5
Berguedà,21,5,4,0,1,0,31
Cerdanya,8,7,1,1,0,0,17
Conca de Barberà,16,3,2,1,0,0,22
Garraf,0,0,1,1,3,1,6
Garrigues,17,4,2,1,0,0,24
Garrotxa,7,10,3,0,1,0,21
Gironès,5,10,5,4,2,1,27
Maresme,0,2,4,9,14,1,30
Moianès,3,5,1,1,0,0,10
Montsià,1,4,2,3,2,0,12
Noguera,16,11,2,0,1,0,30
Osona,19,10,14,4,3,0,50
Pallars Jussà,9,3,1,1,0,0,14
Pallars Sobirà,12,2,1,0,0,0,15
Pla d'Urgell,0,10,5,0,1,0,16
Pla de l'Estany,4,4,2,0,1,0,11
Priorat,20,2,1,0,0,0,23
Ribera d'Ebre,2,9,2,1,0,0,14
Ripollès,12,3,3,0,1,0,19
Segarra,16,3,0,2,0,0,21
Segrià,10,15,9,3,0,1,38
Selva,3,5,7,8,3,0,26
Solsonès,12,2,0,1,0,0,15
Tarragonès,2,5,7,4,3,1,22
Terra Alta,4,7,1,0,0,0,12
Urgell,9,8,0,2,1,0,20
Vallès Occidental,1,1,2,5,9,5,23
Vallès Oriental,3,5,7,10,12,2,39
Catalunya,331,260,143,89,101,23,947
Metropolità,5,10,19,29,51,17,131
Comarques Gironines,77,71,26,14,19,1,208
Camp de Tarragona,53,33,15,9,6,2,118
Terres de l'Ebre,8,25,9,6,4,0,52
Ponent,68,51,18,8,3,1,149
Comarques Centrals,66,26,28,14,5,1,140
Alt Pirineu i Aran,46,23,4,3,1,0,77
Penedès,8,21,24,6,12,1,72
Barcelona,64,52,64,47,65,19,311
Girona,83,77,26,15,19,1,221
Lleida,123,70,22,11,4,1,231
Tarragona,61,61,31,16,13,2,184

